user_id,month,income_eur,rent_eur,food_eur,transport_eur,utilities_eur,debt_eur,discretionary_eur,total_expenses_eur,savings_eur,cumulative_savings_eur
3,8,2875.06,869.53,365.17,224.82,109.65,134.64,454.74,2158.55,716.51,5298.21
3,9,3485.12,1363.16,315.31,313.79,158.23,213.21,279.81,2643.52,841.6,6139.81
3,10,3235.47,1177.41,296.8,215.47,207.19,368.25,68.93,2334.06,901.42,7041.23
3,11,2629.72,1066.76,312.04,184.94,179.1,255.42,68.15,2066.43,563.29,7604.52
3,12,2973.78,1141.12,386.43,158.93,135.67,355.71,271.9,2449.75,524.04,8128.56
4,1,4084.9,1423.6,351.37,252.34,127.91,171.83,197.38,2524.43,1560.47,1560.47
4,2,3587.38,1256.3,395.36,143.32,197.93,60.57,366.49,2419.97,1167.41,2727.88
4,3,4088.1,1464.13,534.1,303.19,270.29,118.94,317.34,3007.99,1080.12,3807.99
4,4,4153.4,1430.37,532.63,317.29,224.08,108.1,461.08,3073.56,1079.84,4887.83
4,5,4189.29,1432.91,491.29,286.22,221.72,46.19,600.44,3078.76,1110.52,5998.36
4,6,4056.98,1382.27,492.19,291.24,212.51,106.52,394.54,2879.26,1177.72,7176.08
4,7,4190.38,1518.78,423.42,389.75,285.82,25.16,159.03,2801.97,1388.41,8564.49
4,8,4256.39,1387.32,540.14,232.44,210.35,6.05,814.9,3191.19,1065.2,9629.69
4,9,4185.7,1340.53,421.25,258.13,196.94,101.81,971.02,3289.69,896.01,10525.7
4,10,3889.75,1114.76,374.37,220.83,258.94,0,1118.83,3087.74,802.02,11327.72
4,11,4324.38,1243.73,611,237.31,189.99,166.81,1178.91,3627.74,696.64,12024.35
4,12,4290.33,1296.02,440.87,387.6,283.51,109.9,447.3,2965.21,1325.13,13349.48
5,1,1543.33,579.65,222.69,74.24,110.22,99.58,9.35,1095.72,447.61,447.61
5,2,1501.44,555.89,154.04,153.75,67.04,109.78,23.83,1064.34,437.1,884.71
5,3,1477.26,499.35,187.35,89.09,103.64,102.33,21.59,1003.35,473.91,1358.62
5,4,1384.23,519.86,140.8,68.26,76.06,165.57,34.33,1004.87,379.35,1737.97
5,5,1574.99,514.82,186.46,105.4,63.29,127.79,70.94,1068.7,506.29,2244.26
5,6,1559.92,580.04,200.42,151.95,91.98,95.29,62.67,1182.34,377.58,2621.84
5,7,1497.39,564.82,149.55,141.29,63.14,80.56,29.05,1028.41,468.98,3090.82
5,8,1547.85,626.12,168.09,88.48,103.47,101.58,56.87,1144.6,403.24,3494.06
5,9,1529.42,537.71,135.23,148.46,101.61,139.65,51.49,1114.15,415.26,3909.33
5,10,1622.15,466.92,145.9,91.81,103.73,199.26,76.98,1084.59,537.56,4446.89
5,11,1420.67,443.55,139.26,135.83,52.37,62.75,96.95,930.72,489.94,4936.83
5,12,1536.08,548.62,135,95.3,118.04,108.71,78.19,1083.87,452.21,5389.04
6,1,1844.69,664.85,234.42,127.91,114.08,249.36,86.31,1476.93,367.75,367.75
6,2,1952.3,700.8,225.88,223.1,105.82,367.42,11.67,1634.7,317.6,685.35
6,3,1962.33,654.1,227.92,93.02,103.8,234.56,328.33,1641.73,320.6,1005.95
6,4,2011.77,709.9,237.93,129.98,64.16,362.3,57.42,1561.69,450.08,1456.03
6,5,1904.63,617.43,254.38,90.9,118.68,198.44,281.05,1560.87,343.77,1799.8
6,6,1880.79,684.18,193.95,189.92,161.22,300.19,52.55,1582.01,298.78,2098.58
6,7,2028.59,709.79,279.79,204.68,96.76,390.76,84.28,1766.06,262.53,2361.11
6,8,2148.6,765.08,327.55,122.88,116.43,467.04,66.63,1865.61,282.99,2644.09
6,9,2016.76,822.77,217.19,192.76,103.71,333.45,59.14,1729.03,287.73,2931.82
6,10,2155.41,666.86,243.48,129.57,118.58,282.26,369.49,1810.24,345.17,3276.99
6,11,2158.76,830.88,342,206.29,134.34,274.73,42.22,1830.48,328.29,3605.28
6,12,2052.21,692.86,246.26,150.53,155.25,433.53,26.65,1705.08,347.14,3952.41
7,1,3387.79,1321.4,312.91,326.4,119.63,191.94,771.15,3043.43,344.36,344.36
7,2,3545.16,1282.58,317.04,257.22,171.55,421,537.01,2986.39,558.77,903.13
7,3,3674.16,1063.25,482.6,335.05,214.99,294.3,468.21,2858.39,815.77,1718.9
7,4,3090.61,973.4,448.55,343.49,104.81,302.97,501.61,2674.83,415.77,2134.67
7,5,3602.66,1173.15,332.8,363.91,218.88,239.81,407.12,2735.67,866.99,3001.66
7,6,3567.15,1325.2,508.56,357.12,189.05,267.45,263.98,2911.36,655.8,3657.45
7,7,3292.65,1169.1,369.2,253.69,186.68,272.14,538.27,2789.09,503.56,4161.01
7,8,3598.43,1183.77,358.91,244.29,249.4,253.83,835.98,3126.18,472.25,4633.26
7,9,3445.66,1363.05,345.24,197,184.39,227.76,455.32,2772.76,672.9,5306.16
7,10,3655.85,1091,451.16,219.63,236.17,451.13,567.23,3016.31,639.54,5945.69
7,11,3520.9,1164.55,341.48,362.62,197.66,269.21,528.04,2863.56,657.35,6603.04
7,12,3488.35,1174.79,452.3,217.66,205.38,332.51,660.04,3042.68,445.67,7048.72
8,1,3006.11,906.67,333.91,276.64,155.78,273.52,20.8,1967.33,1038.78,1038.78
8,2,2756.63,968.02,412.26,145.9,167.55,296.74,15.25,2005.72,750.91,1789.69
8,3,3045.29,878.5,259.96,314.52,143.8,200.26,391.45,2188.5,856.79,2646.48
8,4,2913.01,827.62,429.61,160.09,155.74,286.72,69.31,1929.09,983.92,3630.4
8,5,2811.41,1016.03,409.02,267,123.11,326.26,67,2208.41,603,4233.4
8,6,2914.56,1103.32,419.25,178.03,143.56,334.26,53.67,2232.1,682.46,4915.86
8,7,3306.76,1183.65,311.45,219.16,158.36,200.21,68.23,2141.07,1165.69,6081.55
8,8,3024.03,857.5,339.83,289.13,146.24,480.31,57.78,2170.78,853.25,6934.81
8,9,3274.84,990.79,468.89,244.95,184.02,408.69,123.07,2420.4,854.44,7789.25
8,10,3138.86,1242.71,479.36,261.18,184.79,421.1,109.42,2698.57,440.3,8229.55
8,11,3292.5,1250.52,499.2,251.38,170.23,305.68,117.39,2594.4,698.1,8927.65
8,12,3264.26,965.71,454.76,219.65,176.26,307.47,148.6,2272.46,991.8,9919.45
9,1,3079.09,889.28,419.1,229.93,185.3,27.53,1129.66,2880.81,198.28,198.28
9,2,3418.82,1156.7,358.8,169.91,217.73,14.61,868.31,2786.06,632.76,831.04
9,3,3463.16,1186.99,372.28,262.46,179.32,42.09,824.96,2868.11,595.05,1426.09
9,4,3328.74,1232.83,364.08,200.59,208.89,56.88,926.5,2989.77,338.97,1765.06
9,5,3083.01,1073.64,440.59,259.61,212.8,38.72,672.33,2697.67,385.34,2150.4
9,6,3369.34,1150.09,311.23,254.77,131.43,74.21,995.34,2917.07,452.28,2602.67
9,7,3145.49,1124.44,236.52,163.55,206.7,18.69,937.73,2687.63,457.86,3060.53
9,8,3177.96,967.49,318.3,217.66,180.28,15.66,1081.77,2781.16,396.8,3457.33
9,9,3038.92,873.18,321.41,243.14,157.77,37.22,871.56,2504.27,534.65,3991.98
9,10,3227.61,1003.56,460.31,323.46,187.23,0,851.15,2825.71,401.9,4393.89
9,11,3166.2,1112.88,382.63,230.87,203.78,61.48,820.84,2812.48,353.72,4747.6
9,12,2807.46,1020.04,292.85,191.93,152.03,30.73,817.35,2504.94,302.52,5050.12
10,1,2346.22,824.18,264.28,227.18,105.52,204.05,77.66,1702.88,643.34,643.34
10,2,2527.75,816.62,348.96,137.22,105.99,198.64,146.59,1754.01,773.74,1417.08
10,3,2339.52,838.61,260.99,159.61,131.85,109.34,321.7,1822.1,517.42,1934.5
10,4,2394.96,734.38,294.65,259.08,156.35,245.33,90.36,1780.16,614.8,2549.3
10,5,2520.89,863.96,329.15,194.36,98.96,256.46,49.85,1792.74,728.15,3277.45
10,6,2322.67,771.01,215.07,199.69,128.98,339.77,81.29,1735.8,586.87,3864.33
10,7,2604.2,931.78,328.12,273.03,171.3,404.4,64.06,2172.68,431.52,4295.85
10,8,2182.12,866.54,210.01,211.28,158.11,227.63,21.74,1695.3,486.82,4782.66
10,9,2302.05,826.3,298.97,212.2,150.27,351.83,27.66,1867.23,434.82,5217.49
10,10,2545.95,784.81,396.63,169.09,169.85,284.62,159.78,1964.78,581.17,5798.65
10,11,2692.59,911.01,304.36,256.16,151.05,421.14,22.78,2066.5,626.09,6424.74
10,12,2668.84,849.07,312.83,192.89,200.05,256.85,219.26,2030.95,637.89,7062.63
11,1,3679.02,1253.7,555.54,345.65,145.41,737.95,56.58,3094.84,584.18,584.18
11,2,3982.14,1475.15,379.21,256.6,185.36,465.88,224.36,2986.55,995.59,1579.77
11,3,3557.87,1398.86,548.66,334.41,210.14,765.36,67.47,3324.91,232.96,1812.73
11,4,4287.66,1280.2,721.32,360.55,208.55,442.17,30.33,3043.12,1244.53,3057.26
11,5,3830.55,1208.84,438.01,241.17,179.58,445.94,311.57,2825.11,1005.44,4062.7
11,6,3607.11,1467.1,429.33,262.64,219.62,450.04,63.82,2892.55,714.56,4777.26
11,7,4034.4,1364.78,432.63,171.76,220.68,431.14,184.74,2805.72,1228.68,6005.94
11,8,3874.82,1500.47,518.39,231.66,309.58,442.45,167.69,3170.24,704.57,6710.51
11,9,3962.92,1261.82,432.96,364.64,226.92,789.54,120.7,3196.59,766.33,7476.84
11,10,3811.79,1409.54,401.22,295.73,152.62,657.97,55.36,2972.44,839.35,8316.2
11,11,3760.1,1374.24,554.53,279.7,259.98,594.69,144.8,3207.93,552.16,8868.36
11,12,3969.05,1311.82,610.12,229.45,233.05,578.99,91.3,3054.74,914.32,9782.68
12,1,4181.66,1587.53,465.26,294.09,271.99,171.23,917.31,3707.41,474.25,474.25
12,2,4235.79,1239.72,375.16,322.56,232.23,89.65,1416.57,3675.89,559.9,1034.15
12,3,4079.56,1412.97,492.86,258.45,175.42,0,1110.92,3450.63,628.93,1663.08
12,4,3900.58,1251.45,429.66,207.92,234.59,85.07,1505.95,3714.65,185.94,1849.02
12,5,3870.51,1248.23,409.31,233.64,270.08,84.48,1367.62,3613.36,257.15,2106.17
12,6,3772.94,1440.17,339.61,322.17,240.54,57.96,1305.25,3705.7,67.24,2173.41
12,7,4225.86,1240.05,639.79,275.99,215.12,15.8,1328.81,3715.56,510.3,2683.71
12,8,4003.9,1569.87,526.09,321.75,242.24,154.95,877.79,3692.69,311.21,2994.92
12,9,3897.26,1683.38,515.57,203.81,242.94,89.47,819.78,3554.94,342.32,3337.24
12,10,3990.43,1371.93,439.84,336.69,248.03,72.66,1425.84,3894.98,95.45,3432.69
12,11,4232.51,1463.01,490.26,215.46,226.36,49.43,1286.04,3730.55,501.95,3934.65
12,12,4209.38,1878.32,465.01,313.42,267.73,0,928.67,3853.15,356.22,4290.87
13,1,3796.23,1492.58,445.91,274.05,163.86,0,797.41,3173.81,622.42,622.42
13,2,3462.81,1273.15,380.31,278.42,183.61,125.34,602.95,2843.78,619.03,1241.45
13,3,3380.12,1180.08,399.12,258.59,160.55,30.14,785.37,2813.86,566.26,1807.71
13,4,3247.36,1092.83,355.17,277.1,203.37,126.74,433.1,2488.31,759.06,2566.77
13,5,3170.77,1165.75,374.17,171.69,124.03,145.94,713.18,2694.77,476,3042.77
13,6,3178,880.99,282.05,192.91,140.86,14.22,909.28,2420.31,757.69,3800.46
13,7,3391.31,1112.87,425.96,149.04,224.07,85.83,685.01,2682.78,708.53,4508.99
13,8,3575.22,1274.74,417.61,167.86,160.44,47.73,823.65,2892.04,683.18,5192.17
13,9,3152.01,1130.64,370.19,180.13,141.91,76.13,853.03,2752.02,399.99,5592.16
13,10,3406.69,1195.93,434.32,203.4,190.85,45.87,850.95,2921.31,485.38,6077.54
13,11,3674.88,1288.97,407.67,322.88,142.32,156.39,994.98,3313.2,361.67,6439.21
13,12,3190.18,1019.08,374.46,224.63,146.8,51.91,726.42,2543.3,646.87,7086.08
14,1,4122.04,1260.09,666.38,407.35,267.7,201.21,612.18,3414.91,707.13,707.13
14,2,4524.86,1800.86,585.64,388.78,277.39,240.81,1065.68,4359.14,165.72,872.84
14,3,4176.79,1197.59,410.11,282.65,164.86,397.95,1194.17,3647.32,529.46,1402.31
14,4,4134.44,1146.16,346.93,204.48,292.46,355.43,1028.44,3373.9,760.54,2162.85
14,5,4207.3,1304.56,472.63,436.74,278.45,479.98,751.17,3723.53,483.77,2646.62
14,6,4262.58,1922.64,554.54,316.86,250.34,449.5,92.75,3586.63,675.95,3322.57
14,7,3959.33,1662.24,426.82,247.71,235.8,507.87,410.4,3490.83,468.49,3791.06
14,8,4070.45,1153.45,679.85,470.31,175.81,404.88,743.41,3627.71,442.74,4233.8
14,9,4108.16,1636.97,497.89,208.32,213.77,241.39,1033.16,3831.49,276.68,4510.48
14,10,4365.11,1802.44,437.68,384.32,258.89,371.73,522.95,3778.01,587.09,5097.57
14,11,4004.36,1356.08,528.35,180.92,224.47,369.54,776.61,3435.97,568.39,5665.96
14,12,4298.32,1459.2,519.92,379.19,259.94,421.34,946.5,3986.09,312.23,5978.19
15,1,3502.51,1056.27,469.37,178.74,176.41,372.81,803.88,3057.48,445.03,445.03
15,2,3895.5,1501.72,466.78,371.18,203.85,255.6,832.11,3631.24,264.26,709.29
15,3,3664.48,1162.38,545.41,383.81,137.85,428.91,473.4,3131.76,532.71,1242
15,4,3662.1,1171.74,410.92,283.34,163.27,359.55,931.57,3320.38,341.71,1583.71
15,5,3390.44,986.78,482.49,188.5,202.13,369.51,715.8,2945.21,445.24,2028.95
15,6,3284.62,1200.11,392.13,191.1,187.53,299.85,495.86,2766.58,518.04,2546.99
15,7,3416.52,1059.23,425.39,331.02,175.67,362.27,626.56,2980.14,436.38,2983.36
15,8,3470.96,1400.04,395.9,313.53,194.11,268.6,510.98,3083.17,387.78,3371.15
15,9,3363.14,926.61,442.03,288.63,177.1,218.45,671.92,2724.75,638.39,4009.54
15,10,3423.91,1203.88,363.34,201.1,221.87,346.32,719.24,3055.75,368.16,4377.71
15,11,3708.51,1296.18,320.18,207.35,211.86,376.51,717.45,3129.53,578.98,4956.68
15,12,3336.5,1008.5,451.89,341.41,222.48,411.94,712.96,3149.19,187.31,5143.99
16,1,2505.93,833.56,351.18,127.2,105.84,208.07,368.13,1993.97,511.96,511.96
16,2,2358.26,934.53,249.15,176.24,149.94,224.84,78.62,1813.32,544.94,1056.9
16,3,2640.68,1008.21,328.28,228.36,136.59,291.34,54.47,2047.25,593.43,1650.33
16,4,2545.5,704.35,241.13,225.25,104.47,165.33,617.09,2057.62,487.87,2138.2
16,5,2458.9,784.95,382.6,219.06,149.09,254.26,162.81,1952.78,506.13,2644.33
16,6,2502.63,881.29,330.58,154.48,163.91,211.68,176.2,1918.13,584.5,3228.83
16,7,2498.04,912.2,365.25,254.16,144.9,176.62,77.14,1930.28,567.76,3796.59
16,8,2434.19,729.94,320.71,135.54,123.24,150.28,433.72,1893.43,540.76,4337.35
16,9,2446.57,879.26,340.21,260.26,142.52,311.06,22.95,1956.26,490.31,4827.66
16,10,2575.51,795.73,297.09,256.83,121.43,192.36,622.28,2285.72,289.79,5117.44
16,11,2565.67,728.87,333.5,203.48,146.96,162.45,650.18,2225.45,340.23,5457.67
16,12,2404.44,806.79,296.56,171.75,138.56,272.5,271.19,1957.34,447.1,5904.77
17,1,3392.98,1158.82,422.45,339.57,140.63,32.76,785.53,2879.74,513.24,513.24
17,2,3683.22,1034.4,362.02,355.8,247.82,67.48,1095.93,3163.46,519.76,1033.01
17,3,3300.28,921.04,360.25,339.8,117.81,91.05,1007.67,2837.62,462.66,1495.67
17,4,3639.84,1049.9,440.98,334.41,227.44,69.55,970.14,3092.43,547.41,2043.08
17,5,3473.43,1255.72,357.71,296.9,202.78,15.87,837.34,2966.33,507.1,2550.18
17,6,3641.35,1341.54,376,249.39,224.76,0,1021.88,3213.57,427.78,2977.96
17,7,3533.6,984.87,420.44,236.57,180.26,103.83,1100.06,3026.04,507.56,3485.51
17,8,3506.25,1231,352.64,250.68,171.79,110.33,994.61,3111.05,395.2,3880.71
17,9,3350.71,1234.53,396.5,266.12,179.63,105.94,689.72,2872.44,478.27,4358.98
17,10,3437.09,1184.04,488.86,182.14,235.49,85.83,808.5,2984.85,452.24,4811.22
17,11,3401.08,1093.69,385.12,261.15,191.45,70.94,943.37,2945.72,455.36,5266.58
17,12,3283.44,1059.77,442.65,221.14,215.64,47.09,1000.99,2987.29,296.15,5562.73
18,1,2146.87,755.07,249.5,207.98,68.1,66.89,124.99,1472.52,674.35,674.35
18,2,2463.79,759.1,260.74,191.79,98.4,24.79,520.8,1855.62,608.17,1282.52
18,3,2419.73,894.9,304.71,204.42,187.52,77.8,151.54,1820.89,598.84,1881.36
18,4,2530.93,813.93,343.36,253.02,130.27,41.72,184.76,1767.06,763.87,2645.23
18,5,2845.76,962.96,253.73,219.57,164.49,75.84,317.03,1993.62,852.14,3497.37
18,6,2468.17,873.75,258.64,251.18,154,11.19,172.74,1721.5,746.67,4244.04
18,7,2424.02,831.48,212.5,223.09,157.97,1.93,339.41,1766.38,657.64,4901.68
18,8,2479.43,875.9,345.24,118.4,127.74,72.17,270.5,1809.95,669.48,5571.17
18,9,2465.55,698.09,298.95,232.61,156.4,11.19,372.06,1769.3,696.25,6267.42
18,10,2288.17,751.65,305.04,123.62,142.55,37.26,117.71,1477.84,810.33,7077.75
18,11,2353.13,752.21,238.7,200.92,124.04,19.53,370.63,1706.02,647.1,7724.85
18,12,2512.64,790.07,315.29,138.83,124.11,62.51,318.89,1749.69,762.95,8487.8
19,1,4245.94,1310.27,529.53,403.68,263.52,388.1,38.21,2933.32,1312.62,1312.62
19,2,4145.56,1324,537.76,353.67,287.79,317.97,78.87,2900.06,1245.5,2558.12
19,3,4016.08,1444.92,518.27,311.73,280.5,468.04,63.79,3087.26,928.83,3486.95
19,4,3999.35,1151.73,592.02,421.13,173.37,256.55,50.36,2645.17,1354.18,4841.13
19,5,3981.24,1482.54,522.28,346.93,230.02,319.16,97.91,2998.85,982.39,5823.52
19,6,4480,1699.1,516.29,289.3,284.94,249.5,147,3186.12,1293.88,7117.4
19,7,3717.8,1155.9,516.44,274.43,243.75,331.91,58.01,2580.43,1137.37,8254.77
19,8,4128.45,1472.44,441.04,315.39,196.92,502.86,49.25,2977.9,1150.55,9405.33
19,9,3773.42,1235.81,383.9,315.68,200.54,439.31,84.45,2659.69,1113.72,10519.05
19,10,3727.92,1504.36,497.99,203.24,183.99,459.27,73.39,2922.25,805.67,11324.72
19,11,3626.09,1263.74,478.45,343.49,192.86,329.73,0,2608.26,1017.83,12342.56
19,12,3422.71,1322.63,358.42,244.78,167.48,392.33,35.02,2520.66,902.05,13244.6
20,1,3226.33,913.01,390.35,243.73,142.99,321.42,117.34,2128.83,1097.49,1097.49
20,2,3146.17,1071.87,262.2,330.95,164.08,161.58,177.56,2168.23,977.93,2075.43
20,3,3023.99,1109.51,350.83,161.36,200.77,204.71,204.18,2231.35,792.64,2868.06
20,4,3337.98,1196.6,452.14,378.27,192.98,223.36,75.68,2519.04,818.94,3687
20,5,3273.42,1081.41,359.59,233.99,168.31,267.35,279.07,2389.7,883.72,4570.72
20,6,3509.28,1426.37,354.8,385.86,239.6,211.81,96.27,2714.72,794.56,5365.28
20,7,3213.76,1120.63,385.8,249.09,202.17,302.79,47.82,2308.31,905.45,6270.73
20,8,3374.77,1396.98,336.47,314.98,214.79,399.07,63.52,2725.8,648.97,6919.7
20,9,3297.23,1413.93,446.62,223.92,177.97,203.71,72.86,2539.01,758.22,7677.92
20,10,3258.27,1142.72,425.4,176.52,219.33,288.94,0.46,2253.38,1004.9,8682.82
20,11,3402.33,1336.88,562.49,368.29,180.33,213.29,92.93,2754.2,648.13,9330.94
20,12,3472.16,1437.77,307.03,330.86,177.27,333.63,52.65,2639.21,832.94,10163.89
21,1,3364.5,979.84,401.06,179.29,151.32,266.57,939.52,2917.6,446.9,446.9
21,2,3044.51,1309.76,326.86,203.1,142.08,375.71,269.8,2627.32,417.19,864.08
21,3,3204.03,1080.38,379.93,271.19,187.07,246.45,628.46,2793.49,410.54,1274.63
21,4,3186.01,1306.29,451.09,394.84,268.21,255.03,57.74,2733.2,452.81,1727.44
21,5,3125.63,834.45,431.67,200.25,160.53,289.02,832.23,2748.15,377.48,2104.92
21,6,2905.32,1200.42,275.19,177.93,159.34,265.71,301.07,2379.66,525.66,2630.57
21,7,3030.46,1122.48,332.26,231.97,199.1,168.59,536.22,2590.62,439.85,3070.42
21,8,3011.53,850.04,357.23,267.14,194.4,218.75,665.31,2552.87,458.65,3529.07
21,9,3152.42,1033.67,358.1,210.58,174.63,299.63,625.14,2701.76,450.67,3979.74
21,10,3177.45,1196.7,424.69,268.15,218.19,202.72,476.6,2787.06,390.39,4370.13
21,11,3074.01,1051.64,427.43,221.66,143.34,308.66,623.42,2776.14,297.87,4668
21,12,2954.55,1040.95,361.59,243.5,177.62,170.52,516.46,2510.64,443.91,5111.91
22,1,2363.8,677.51,345.15,128.74,137.47,288.06,448.42,2025.36,338.44,338.44
22,2,2535.87,1005.27,274.93,195.88,111.48,140.79,625.9,2354.24,181.63,520.07
22,3,2529.62,1051.67,364.39,233.3,148.72,245.58,261.36,2305.03,224.59,744.66
22,4,2406.88,653.3,231.98,179.04,145.37,197.34,613.46,2020.48,386.4,1131.06
22,5,2547.74,838.31,281.55,158.57,101.06,186.88,609.23,2175.58,372.16,1503.23
22,6,2699.55,947.9,445.87,117.42,163.2,312.19,389.34,2375.93,323.63,1826.86
22,7,2397.98,755.09,252.11,208.05,158.49,265.38,433.97,2073.07,324.9,2151.76
22,8,2615.91,738.3,228.79,197.28,174.15,255.4,644.12,2238.03,377.88,2529.64
22,9,2007.33,655.6,264.19,156.89,116.52,228.39,380.66,1802.26,205.07,2734.71
22,10,1632.92,597.66,145.48,142.3,102.56,177.39,137.57,1302.95,329.97,3064.68
22,11,1928.73,561.69,251.1,141.61,105.81,110.21,402.37,1572.79,355.94,3420.63
22,12,1461.47,534.09,165.56,126.62,69.49,99.98,224.72,1220.47,241.01,3661.63
23,1,4221.15,1317.8,392.51,456.63,251.75,349.39,870.25,3638.32,582.83,582.83
23,2,4406.31,1661.25,671.67,314.04,240.49,427.97,339.85,3655.28,751.03,1333.86
23,3,4709.64,1754.71,623.92,402.89,217.38,343.62,736.37,4078.88,630.76,1964.62
23,4,4147.65,1317.35,508.65,217.17,272.55,361.26,1019.7,3696.67,450.98,2415.6
23,5,4164.89,1613.79,610.58,420.59,211.55,488.3,66.44,3411.26,753.63,3169.23
23,6,4454.44,1234.76,631.47,363,306.74,277.28,1116.05,3929.3,525.14,3694.37
23,7,4984.4,1722.67,611.79,395.1,269.7,523,1034.58,4556.85,427.55,4121.92
23,8,4454.47,1497.87,680.22,240.56,307.84,468.17,688.17,3882.82,571.64,4693.56
23,9,4659.72,1722.65,525.17,220.21,321.4,173.99,1182.64,4146.06,513.66,5207.22
23,10,4777.91,1646.25,535.15,315.42,241.67,538.46,803.79,4080.75,697.17,5904.39
23,11,4451.02,1382.22,456.58,403.5,171.87,366.29,883.33,3663.78,787.24,6691.62
23,12,4703.99,1842.89,694.18,353.76,306.75,258.09,543.48,3999.15,704.84,7396.47
24,1,2927.3,1011.88,384.04,136.56,155.12,262.16,715.54,2665.31,262,262
24,2,3173.95,961.69,380.05,233.32,171.62,362.24,716.1,2825.03,348.92,610.92
24,3,3161.27,1109.26,270.39,219.06,174.79,301.42,811.92,2886.85,274.42,885.34
24,4,3383.75,1246.41,477.46,278.06,172.74,424.49,431.37,3030.53,353.22,1238.55
24,5,3127.37,1239.93,393.18,192.84,139.43,323.64,666.69,2955.71,171.66,1410.22
24,6,3034.44,1092.01,348.43,241.93,146.71,332.31,447.81,2609.19,425.25,1835.47
24,7,3030.61,1029.38,327.62,239.44,209.39,151.2,734.43,2691.46,339.15,2174.62
24,8,3398.47,1152.85,353.57,270.61,179.1,337.84,671.12,2965.09,433.38,2608
24,9,3111.36,1136.79,353.08,270.25,171.55,212.67,490.96,2635.31,476.04,3084.04
24,10,3352.3,1283.1,530.21,332.69,145.08,245.39,617.13,3153.59,198.72,3282.76
24,11,3087.36,828.06,351.23,193.47,188.74,271.55,903.6,2736.64,350.72,3633.48
24,12,3296.33,1145.56,353.23,350.57,204.58,229.65,717.78,3001.36,294.97,3928.45
25,1,2564.34,935.73,294.21,200.16,106.99,237.59,51.2,1825.88,738.46,738.46
25,2,2956.01,891.32,428.45,301.96,145.34,187.8,61.33,2016.2,939.81,1678.28
25,3,2689.32,951.85,301.52,191.6,143.9,307.32,112.15,2008.34,680.98,2359.25
